mode,version,seed,split_label,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage,hidden_h_probe_from_pre_surface_accuracy
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.07,B,level1,0.6975549999999999,0.6260549999999999,0.6975549999999999,0.7944346499999999,0.0,0.07150000000000001,0.09687964999999998,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.07,B,level2,0.6975549999999999,0.6260549999999999,0.6975549999999999,0.7944346499999999,0.0,0.07150000000000001,0.09687964999999998,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.07,B,level3,0.6975549999999999,0.6260549999999999,0.6975549999999999,0.7944346499999999,0.0,0.07150000000000001,0.09687964999999998,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.03,A,level1,0.7145199999999999,0.72542,0.7145199999999999,0.8335189875,0.0,-0.01090000000000002,0.11899898750000004,1.0,0.476875,0.523125,0.0,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.03,A,level2,0.75152,0.72542,0.7145199999999999,0.8335189875,0.03700000000000003,0.026100000000000012,0.08199898750000001,0.5,0.414375,0.304375,0.28125,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.03,A,level3,0.75152,0.72542,0.7145199999999999,0.8335189875,0.03700000000000003,0.026100000000000012,0.08199898750000001,0.5,0.414375,0.304375,0.28125,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.03,B,level1,0.6904325,0.7210325,0.6904325,0.827347415,0.0,-0.03059999999999996,0.13691491499999997,1.0,0.4435,0.5565,0.0,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.03,B,level2,0.7210325,0.7210325,0.6904325,0.827347415,0.03059999999999996,0.0,0.10631491500000001,0.0,0.5565,0.0,0.4435,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.03,B,level3,0.7210325,0.7210325,0.6904325,0.827347415,0.03059999999999996,0.0,0.10631491500000001,0.0,0.5565,0.0,0.4435,0.4435,0.0,0.61878125,0.744375,1.0,0.595453125
mode_A_fixed_split_fresh_seeds,structured,141,fixed_split_3985,0.05,A,level1,0.72542,0.72542,0.69452,0.8239814875,0.030899999999999928,0.0,0.09856148750000004,0.0,0.523125,0.0,0.476875,0.476875,0.0,0.61878125,0.744375,1.0,0.595453125
